,smiles
79,CCC(C)C(NC(N)=O)C(=O)NNC(=O)c1ccc(COc2cccc3cccnc23)cc1
80,CC(=O)OCCCC1=CCN(NC(=O)c2ccccc2)CC1
81,Cn1c(N2CCOC(c3ccc(N(C(=O)c4ccccc4)C4CCCCC4)cc3)C2)nc(-c2ccncc2F)cc1=O
82,CC(C)N(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1
83,CCCCC(=O)Nc1ccccc1C(=O)OCc1cc(=O)n2nc(C3CCCCC3)sc2n1
84,O=S(=O)(c1ccc(-c2ccc3[nH]cnc(=Nc4ccc(OCc5ccccc5)c(Cl)c4)c3c2)cc1)N1CCOCC1
85,CCCN(CCN1CC(c2ccc3c(c2)OCO3)C(C(=O)O)C1c1ccc(OC)cc1)S(=O)(=O)CCOC
86,Cc1c(C(=O)N2CCOCC2)sc(NC(=O)c2ccc([N+](=O)[O-])cc2)c1C#N
87,O=C(COc1ccc(Br)cc1)N(Cc1ccco1)C1CCS(=O)(=O)C1
88,CCCCc1ccc(N=CC2C(=O)OC3(CCCCC3)OC2=O)cc1
89,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(NC(=O)Cc3ccc(F)cc3)cc2)n1
90,CN(C)C(=O)c1cccc2c1nc(-c1c(F)cccc1F)n2Cc1c(F)cccc1F
91,COC(=O)C=C(C)n1nc2ccccc2n1
92,CC(C)c1cccc(-c2csc(C(O)c3ccco3)n2)c1
93,Cc1c2c(=O)n(-c3nc(-c4ccccc4)cs3)[nH]c2cc(=O)n1C
94,NCc1ccc(Cl)cc1CNC(=O)C1CCCN1C(=O)C1c2ccccc2CS1(=O)=O
95,Oc1cc(C=Cc2csc(-c3ccccc3)n2)cc(O)c1O
96,CC(=Cc1ccc(OCCN2CCOCC2)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
97,CCc1ccc(-n2c(O)c3c(c2O)C2(NC3Cc3ccc(OC(C)(C)C)cc3)C(=O)N(Cc3ccccc3)c3ccc(F)cc32)cc1
98,CCCOc1ccccc1C(=O)OCC(O)CNC(C)C
99,COCCOC1CCC(Nc2cc(=O)n(C)c3c(C)cc(-c4cncs4)cc23)CC1
100,NC(=O)C1CCN(C(=O)CCCc2nnc(-c3ccccc3)o2)C1
101,COc1ccc(Cl)cc1NC(=O)CN1c2ccccc2S(=O)(=O)c2ccccc21
102,NC(=O)CN1CCC(c2ccccc2)C1=O
103,COC(=O)C(Cc1ccccc1)N(C(=O)c1ccccc1)C1CCN(Cc2cncn2Cc2ccc(C#N)cc2)CC1
104,Cn1c(=O)n(Cc2ccccc2F)c(=O)c2c1[nH]c(=NCc1cccnc1)n2C
105,COc1ccc(C=CC(=O)CC(=O)C=Cc2ccc(OC)c(C)c2)cc1C
106,Cc1cc2c(cc1C)NC1(CC3CCCC(=O)N4CCC(C1)C34)C(=NCc1ccccc1)N2
107,CC(C)N1C(=O)C(=CC(=O)c2cccnc2)c2c(Cl)cccc21
108,CCOC(=O)c1cc2cc(N=c3[nH]cnc4cc(OC)c(OCCCN5CCCC5)cc34)ccc2s1
109,CC(C)CCC1OC(C)(C)OC1(C)C1CCC2(O)C3=C(C(O)CC12C)C1(C)CC(O)C(O)CC1C(=O)C3
110,O=C(Nc1ccc(Br)cc1F)C1CCN(c2nnc(-n3cccc3)s2)CC1
111,OC(Cn1ccnc1)(c1ccccc1)c1ccc(-c2ccncc2)cc1
112,Cc1cc(-c2cccc([N+](=O)[O-])c2)c2ncc(CSCCc3ccccc3)n2c1
113,Fc1ccccc1C(N=c1[nH]nc(-c2c[nH]c3ncccc23)o1)C1CC1
114,COCCOc1cc2[nH]cnc(=Nc3cc(O)c(Cl)cc3F)c2cc1OC
115,COc1ccc(C)cc1S(=O)(=O)N1CCN(Cc2ccccc2)CC1
116,COC(=O)CCC(=O)N=CC(N)C(=O)OCC(N)=O
117,COC(=O)CC(CC(=O)Oc1ccc([N+](=O)[O-])cc1)c1ccccc1
118,O=C(CCCc1ccccc1-c1ccc(CSCCc2ccccc2)cc1)NS(=O)(=O)c1cccs1
119,COc1ccc2cc(C(=O)C3CCCN(C(=O)c4cnccn4)C3)ccc2c1
120,O=C(NC1CCCCC1)C(c1cccnc1)N(CCc1ccccc1)C(=O)Cc1cccs1
121,CC(C)(C)OC(=O)c1ccc(CCN=c2[nH]c(=N)c3ncn(C4OC(CO)C(O)C4O)c3[nH]2)cc1
122,CCC(Sc1ccccc1C(=O)O)C(=O)O
123,Cc1ccccc1OCC(=O)Nc1sc(C(=O)Nc2cccc(C)c2C)c(C)c1C#N
124,C1=C(c2ccco2)CC[N+](C2CC2)=C1
125,COc1ccc(-c2ccc(CCC(=O)O)n2Cc2ccco2)cc1
126,CS(=O)(=O)c1c[nH]c2ccc(-c3cc(F)c(O)c(Cl)c3)cc2c1=NC1CCC(CN2CCCC2)CC1
127,CCOc1ccc(NC(=O)CN(C)C(=O)c2ccc(NC3CC3)c([N+](=O)[O-])c2)cc1OCC
128,COc1ccc(OC)c2[nH]c(=O)c(CCNC(=O)COc3ccccc3)cc12
129,O=C(N=c1c2c([nH]n1-c1cccc(Cl)c1)CS(=O)(=O)C2)C1CC1
130,CCn1c(COc2c(OC)ccc3cc4[n+](cc23)CCc2cc3c(cc2-4)OCO3)nc2ccccc21
131,Cc1cc(-c2ccccc2)cc(C)n1
132,COC(=O)C(C(=O)N=c1[nH]nc(CCSCCc2n[nH]c(=NC(=O)C(C(=O)OC)c3ccccc3)s2)s1)c1ccccc1
133,Cn1c(C2CCCCC2)nc2c(-c3ccccc3)nc(-c3ccccc3)nc21
134,Cc1ccc(NCc2nnc(SCC(=O)c3ccccc3)n2Cc2ccco2)c(C)c1
135,CCCCN(CCCC)S(=O)(=O)c1ccc(NC(=O)c2c(-c3ccccc3)noc2C)cc1
136,COc1cc(C=CC(=O)C(=Cc2ccc(O)cc2)C(=O)C=Cc2ccc(O)c(OC)c2)ccc1O
137,COc1cnn(CCN2CCOCC2)c(=O)c1-c1ccc(CC(NC(=O)c2c(Cl)cccc2Cl)C(=O)O)cc1
138,N=c1c2c([nH]c(=S)n1-c1ccccc1)N=C1CCCCC1C2c1ccc(Cl)cc1
139,N=C(N)NCCCCCN(CCC(N)C(=O)O)CC1OC(n2cnc3c(=N)[nH]cnc32)C(O)C1O
140,O=C(NS(=O)(=O)c1ccccc1)c1ccc(F)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12
141,COCn1cnc2cccc3cccc1c32
142,O=C(O)CC(CC(=O)Nc1ccc(OCc2ccc(Cl)cc2)cc1)c1ccccc1
143,Cc1cccc(N=Nc2c(O)c3cc(-c4ccccc4)ccc3oc2=O)c1
144,CC(C)=CCCC(C)CC1Cc2[nH][nH]c(=O)c2C(c2ccc(F)cc2)O1
145,c1ccc(CN2CCC3(CC2)CN(c2ccccn2)CCO3)nc1
146,Cc1cc[nH]c(=NCC(O)CON=C(C2CC2)C2CC2)c1
147,Cc1ncc(CNC2CC(=O)N(CCc3ccc(F)cc3)C2)n1C
148,Cc1cc(=O)cc(C)n1-c1ccc(Br)cc1
149,COc1ccc(O)c(C(=O)c2cnc3c(c2)c(C)nn3CCO)c1
150,CN1CCc2c(O)ccc3c2C(CCC3)C1
151,CN(C)CCNC(=O)c1ccccc1NC(=O)c1ccc2cc3n(c2c1)CCCNC3=O
152,Cc1c(-c2ccc(N3CCC3C(=O)NC(C)(C)C)cc2)[nH]c2cc(F)cc(F)c2c1=O
153,CC(C)(C)OC(=O)C=Cc1cn(C(=O)C=Cc2ccc3c(c2)OCO3)c2ccccc12
154,O=C(O)c1c(N2CCCCC2)ccc([N+](=O)[O-])c1N1CCCCC1
155,O=c1[nH]c2ccccc2c(O)c1-[n+]1ccccc1
156,COc1ccc(C2=Nn3c(nnc3-c3ccccc3C(F)(F)F)SC2)cc1OCC1CC1
157,COc1ccc(CNC(=O)C2CSC(c3ccc(OC)cc3)N2C(C)=O)cc1
158,CCOC(=O)c1[nH]c(C)c(CCC(=O)N2CCN(c3cccc(OC)c3)CC2)c1C
159,COc1cc(NC(=O)CSc2nnc(-c3ccncc3)o2)cc(OC)c1OC
160,CC(C)(C)OC(=O)NN(CC1CCCC1)c1nc(C#N)ncc1Br
161,CC(C)(C)c1cnc(CSc2c[nH]c(=Nc3ccccn3)s2)o1
162,O=C1CC(c2ccco2)Sc2ccccc2N1Cc1ccccc1
163,CCCOCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2
164,COc1ccc2[nH]c(C)c(CCNC(=S)Nc3cc(C)cc(C)c3)c2c1
165,CC12c3[nH]c4ccccc4c3CCN1C(=O)C(CC(=O)NCc1cccc(C(F)(F)F)c1)CC2C(=O)N1CCCCC1
166,OC(CN1CCC(OCc2ccccc2F)CC1)(Cn1cncn1)c1ccc(F)cc1F
167,CC(N=c1nc(-c2c(-c3ccc(F)cc3)nc3cc(CN(C)C(C)C)ccn23)cc[nH]1)c1ccccc1
168,O=[N+]([O-])c1cn2c(n1)OCC(OCC#Cc1ccc(C(F)(F)F)nc1)C2
169,N#Cc1cc([N+](=O)[O-])ccc1C(=O)O
170,CC(C(=O)NCc1ccco1)N1CCN(Cc2nccn2C)CC1
171,Fc1ccc2c(c1)[nH]c(=NN=CC1CC=Nc3ccccc31)c1nccn12
172,COc1cc(C=NN=c2nc(N3CCOCC3)c3c([nH]2)CCS(=O)(=O)C3)cc(OC)c1O
173,CNC(=O)Oc1ccc2c(c1)CCC1CCN(C)C21
174,Cc1cc(N2CCOCC2)ccc1N=c1nc(N2CCOCC2)c2[nH]cnc2[nH]1
175,Cc1cc[nH]c(=NC(=S)N2CCN(c3ncc(C(F)(F)F)cc3Cl)CC2)c1
176,CCCc1c(C(=O)NC2CCCC2)nnn1-c1ccc(OC)cc1
177,CC(=O)CCC(NC(=O)C(CC(=O)O)NC(=O)CS)C(N)=O
178,Cn1cnc(S(=O)(=O)N2CC3CCC(NC(=O)c4ccc(F)cc4)C3C2)c1
179,CCCOc1ccc2ccc(=O)oc2c1
180,CC(=O)NCc1cc(=O)cc(-c2ccccn2)[nH]1
181,Cc1[nH]n(C(=O)c2cccs2)c(=N)c1-c1ccccc1
182,CC1=Nc2nc3ccccc3n2C(c2cccc(Cl)c2)C1C(=O)N1CCCCC1
183,O=C(N=c1[nH]c2c(F)cccc2s1)C1=COCCO1
184,CSC1=Nc2ccccc2C2=NC(CN3CCN(c4ccccc4Cl)CC3)CN12
185,Cc1cc(C)cc(NC(=O)COc2coc(CN3CCc4ccccc43)cc2=O)c1
186,CNC1Nc2cc(-c3cccc(CCC(=O)O)c3)sc2-n2c(C)cnc21
187,CC(C)CCOC(=O)C(C#N)=Cc1ccc(O)c(O)c1
188,Cc1c[nH]c(-c2ccccc2C(F)F)nc1=NCC1CN(c2cnccn2)C1
189,COc1ccc(C2=CCC(=O)CC2)c(OC)c1
190,CC(C)(C)OC(=O)Nc1ccc(C(NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C)cc1
191,Cc1oc(=O)n(CC(N)c2ccccc2)c(=O)c1-c1ccccc1F
192,O=C1C(=Nc2cccc(S(=O)(=O)N3CCc4ccccc4C3)c2)C(Cl)C(=O)c2ccccc21
193,CC1=NC(=O)CC(c2ccc(F)cc2F)C1C(=O)OC1CCCC1
194,Cc1ccccc1-n1c(-c2cc(-c3ccc(Cl)cc3)c(N3CCOCC3)s2)nc2ccccc2c1=O
195,N#CC1C(=NCCN)N(c2ccccc2)C(=O)N2CCCC12
196,O=C1CCC2C(CCN2Cc2ccccn2)N1CC1CC1
197,Cn1c(=O)oc2cc(S(=O)(=O)Nc3ccc4c(c3)OCO4)ccc21
198,FC(F)(F)c1cc(COCC2(c3ccccc3)CCNCC2)cc(-c2ccco2)c1
199,N=C(N)NCCCC(NC(=O)C(Cc1ccc(O)cc1)NC(=O)CS)C(N)=O
200,CC(NC(=O)OC(C)(C)C)C(=O)OCOC(=C1C(=O)N(C(N)=O)c2cc(Cl)c(F)cc21)c1cccs1
201,CC(=O)c1cccc(NC(=O)C(CC(C)C)NS(=O)(=O)c2ccc3c(c2)CCN3C(C)=O)c1
202,CC(N=c1nc(N=c2cc(C3CCC3)[nH][nH]2)cc[nH]1)c1ccc2[nH]ccc2c1
203,COc1ccc2c(ccc(=O)n2CC(=O)O)c1
204,COc1ccc(C)c(-c2cc3ccc(C)cc3c(=N)[nH]2)c1
205,CS(=O)(=O)c1ccc(C(=O)NCCCC(=O)N2CCN(c3ccccc3F)CC2)cc1[N+](=O)[O-]
206,CC(C)CC(C(=O)N=c1[nH]ccs1)N1Cc2ccccc2C1
207,COc1ccc(-c2nc3ccccc3c(=O)n2NC(=O)Cc2ccccc2)cc1
208,Cc1[nH]c(=NS(=O)(=O)c2cccc([N+](=O)[O-])c2)sc1C(C)(C)C
209,COc1ccc(C2SCC(=O)Nc3[nH]ncc32)c(OC)c1OC
210,OC(COc1ccccc1)CN1CCC(Cc2ccccc2)CC1
211,COc1cccc2c1OCC(CO)C2N(C)C(=O)Nc1ccc(Cl)cc1Cl
212,O=C(NCc1ccccc1)C1CC1C(=O)NC(Cc1ccccc1)C(O)C(O)C(Cc1ccccc1)NC(=O)C1CC1C(=O)NCc1ccccc1
213,CCOc1cccc2cc(-c3n[nH]c(=NCc4ccco4)s3)c(=O)oc12
214,Nc1ccccc1C(=O)Nc1ccc(CCN2CCc3ccccc3C2)cc1
215,CN(Cc1ccc(Cl)cc1)c1cc(C(=O)N=c2cc[nH]cc2)ncn1
216,Cn1cnnc1C1CCN(C(=O)CCCOc2ccccc2F)CC1
217,O=C(O)c1c(-c2ccc[nH]c2=O)c2cc(C(F)(F)F)ccc2n1Cc1ccc(OC(F)F)cc1
218,CCc1ccc(CN2CCc3[nH]nc(C(=O)N4CCNC(=O)C4)c3C2)o1
219,CC(C)CCn1nnc(O)c1C(N)=O
220,COc1ccc2cc(CC3CCCCN3)c3cc(OC)c(OC)cc3c2c1
221,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2[nH]c(=NCCCN(C)C)sc2c1
222,COc1ccc2cc(Br)c(=O)oc2c1
223,CCN(CC)C(=O)C1=C(c2ccc(Cl)c(Cl)c2)CCC1
224,Cc1cc(=O)oc2cc(NC(=O)CCCCCCNC(=O)c3cccnc3)ccc12
225,CC(=O)NCC1CC(c2ccc(-n3ccnc3)c(F)c2)=NO1
226,COC(=O)CSc1ccc(CC2CCN(C3CCN(C(=O)c4cccc5ccccc45)CC3)CC2)cc1
227,CSC(=N)Nc1ccc(CCc2csc(=NC(C)=O)[nH]2)cc1
228,CC(C)n1ncc2c(C(=O)N=c3nccc[nH]3)cc(-c3ccsc3)nc21
229,CC(C)(C)c1cc(C(=O)CCCC2CC2)cc2c1OCC2(C)C
230,O=S(=O)(O)CCCCCCn1ccnc1
231,Cc1noc(C)c1-c1cccc(CNCc2ccc(-c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)s3)cc2)c1
232,Cc1cccc(CNC2CCCc3c2cnn3C)c1
233,COc1ccc(NC(=O)Nc2ccc3c(c2)C(=O)N(C(C)CO)CC(C)C(CN(C)S(=O)(=O)c2cccs2)O3)cc1
234,N#CC1CCCN1C(=O)C(N)Cc1ccc(-c2cn(Cc3cccc(Cl)c3)nn2)cc1
235,Cc1noc(C)c1S(=O)(=O)NCc1ccc(-c2ccccc2)s1
236,COc1ccccc1N1CCN(c2cc3c(cc2C#N)[n+]([O-])c2cc(Cl)ccc2[n+]3[O-])CC1
237,CC(C)(C)CC(C)(C)NC(=O)NC1CCCCC1
238,O=c1c2c([nH]c3ccccc13)CCCCC2
239,Cc1ccn2c(Nc3ccc4c(c3)OCCO4)c(-c3ccc(C)o3)nc2c1
240,CCCCCn1cc(C(=O)NC(C)C23CC4CC(CC(C4)C2)C3)c(=O)c2ccccc21
241,O=C(NCCN1CCOCC1)c1sc2cc(Cl)ccc2c1Cl
242,COc1cccc(CN2C(=O)C(=O)c3cc(OC(F)(F)F)ccc32)c1
243,O=C(CCn1ncc2c(Cl)cccc21)NCC1CC1
244,Nc1ccc(-n2ccc(=O)c3c(=O)n(Cc4ccccc4)ccc32)cc1C(F)(F)F
245,CCCCOc1ccc(CC(=O)O)cc1-c1cc(-c2cccc(OC)c2OC)n(Cc2ccccc2)n1
246,O=C1c2cc(CCc3ccc(C(F)(F)F)cc3)ccc2OCCN1Cc1ccccn1
247,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(OC(=O)CCN6CCOCC6)C(C)(C)C5CCC43C)C2C1
248,CC1=Nc2ncnn2C(c2cn(-c3ccccc3)nc2-c2ccc(Cl)cc2)C1C(=O)N=c1cccc[nH]1
249,O=C1N=C(C=C2COc3ccc(Br)cc3C2)C(=O)N1
250,CN(C)S(=O)(=O)c1ccc(Cl)c(C(=O)NNC(=O)Cn2ccc(C(F)(F)F)n2)c1
251,Cc1c(C(C)N=c2[nH]cnc3sccc23)cnn1C
252,Cc1ccc(NC(=O)COC(=O)C2COc3ccccc3O2)cc1S(=O)(=O)N1CCOCC1
253,O=[N+]([O-])c1ccc2c(c1)c(OCc1ccccc1)nn2CCOCCN1CCCCC1
254,O=C(NC(=S)N1CCCC1)c1ccccc1Cl
255,CCCC(=O)N1CCC(S(=O)(=O)c2ccc(CNC(=O)c3cc4ccncc4o3)nc2)CC1
256,COc1ccc(CCC(=O)NCCc2ccc(O)c(O)c2)cc1OC
